HolidayId,MasterMappingKey,date,Holiday,HolidayLocation,Holiday_ind,CreatedDate,Queue
1,1,11/26/2015,Thanksgiving Day,,1,,ACT
2,1,11/27/2015,Thanksgiving Day,,1,,ACT
3,1,12/25/2015,Christmas Day,,1,,ACT
4,1,1/1/2016,New Year’s Day,,1,,ACT
5,1,5/30/2016,Memorial Day,,1,,ACT
6,1,7/4/2016,Independence Day,,1,,ACT
7,1,9/5/2016,Labor Day,,1,,ACT
8,1,11/24/2016,Thanksgiving Day,,1,,ACT
9,1,11/25/2016,Thanksgiving Day,,1,,ACT
10,1,12/26/2016,Christmas Day,,1,,ACT
11,1,1/2/2017,New Year’s Day,,1,,ACT
12,1,5/29/2017,Memorial Day,,1,,ACT
13,1,7/4/2017,Independence Day,,1,,ACT
14,1,9/4/2017,Labor Day,,1,,ACT
15,1,11/23/2017,Thanksgiving Day,,1,,ACT
16,1,11/24/2017,Thanksgiving Day,,1,,ACT
17,1,12/25/2017,Christmas Day,,1,,ACT
18,1,1/1/2018,New Year’s Day,,1,,ACT
19,1,5/28/2018,Memorial Day,,1,,ACT
20,1,7/4/2018,Independence Day,,1,,ACT
21,1,9/3/2018,Labor Day,,1,,ACT
22,1,11/22/2018,Thanksgiving Day,,1,,ACT
23,1,11/23/2018,Thanksgiving Day,,1,,ACT
24,1,12/25/2018,Christmas Day,,1,,ACT
25,1,1/1/2019,New Year’s Day,,1,,ACT
26,1,5/27/2019,Memorial Day,,1,,ACT
27,1,7/4/2019,Independence Day,,1,,ACT
28,1,9/2/2019,Labor Day,,1,,ACT
29,1,11/28/2019,Thanksgiving Day,,1,,ACT
30,1,11/29/2019,Thanksgiving Day,,1,,ACT
31,1,12/25/2019,Christmas Day,,1,,ACT
