Team,Queue,Worktype,Channel/Method,Received Date,Received Time,Volume,backlog
ACT,ACT,,,11/1/2015,12:00 AM,0,0
ACT,ACT,,,11/1/2015,12:15 AM,0,0
ACT,ACT,,,11/1/2015,12:30 AM,0,0
ACT,ACT,,,11/1/2015,12:45 AM,0,0
ACT,ACT,,,11/1/2015,1:00 AM,0,0
ACT,ACT,,,11/1/2015,1:15 AM,0,0
ACT,ACT,,,11/1/2015,1:30 AM,0,0
ACT,ACT,,,11/1/2015,1:45 AM,0,0
ACT,ACT,,,11/1/2015,2:00 AM,0,0
ACT,ACT,,,11/1/2015,2:15 AM,0,0
ACT,ACT,,,11/1/2015,2:30 AM,0,0
ACT,ACT,,,11/1/2015,2:45 AM,0,0
ACT,ACT,,,11/1/2015,3:00 AM,0,0
ACT,ACT,,,11/1/2015,3:15 AM,0,0
ACT,ACT,,,11/1/2015,3:30 AM,0,0
ACT,ACT,,,11/1/2015,3:45 AM,0,0
ACT,ACT,,,11/1/2015,4:00 AM,0,0
ACT,ACT,,,11/1/2015,4:15 AM,0,0
ACT,ACT,,,11/1/2015,4:30 AM,0,0
ACT,ACT,,,11/1/2015,4:45 AM,0,0
ACT,ACT,,,11/1/2015,5:00 AM,0,0
ACT,ACT,,,11/1/2015,5:15 AM,0,0
ACT,ACT,,,11/1/2015,5:30 AM,0,0
ACT,ACT,,,11/1/2015,5:45 AM,0,0
ACT,ACT,,,11/1/2015,6:00 AM,0,0
ACT,ACT,,,11/1/2015,6:15 AM,0,0
ACT,ACT,,,11/1/2015,6:30 AM,0,0
ACT,ACT,,,11/1/2015,6:45 AM,0,0
ACT,ACT,,,11/1/2015,7:00 AM,0,0
ACT,ACT,,,11/1/2015,7:15 AM,0,0
ACT,ACT,,,11/1/2015,7:30 AM,0,0
ACT,ACT,,,11/1/2015,7:45 AM,0,0
ACT,ACT,,,11/1/2015,8:00 AM,0,0
ACT,ACT,,,11/1/2015,8:15 AM,0,0
ACT,ACT,,,11/1/2015,8:30 AM,0,0
ACT,ACT,,,11/1/2015,8:45 AM,0,0
ACT,ACT,,,11/1/2015,9:00 AM,0,0
ACT,ACT,,,11/1/2015,9:15 AM,0,0
ACT,ACT,,,11/1/2015,9:30 AM,0,0
ACT,ACT,,,11/1/2015,9:45 AM,0,0
ACT,ACT,,,11/1/2015,10:00 AM,0,0
ACT,ACT,,,11/1/2015,10:15 AM,0,0
ACT,ACT,,,11/1/2015,10:30 AM,0,0
ACT,ACT,,,11/1/2015,10:45 AM,0,0
ACT,ACT,,,11/1/2015,11:00 AM,0,0
ACT,ACT,,,11/1/2015,11:15 AM,0,0
ACT,ACT,,,11/1/2015,11:30 AM,0,0
ACT,ACT,,,11/1/2015,11:45 AM,0,0
ACT,ACT,,,11/1/2015,12:00 PM,0,0
ACT,ACT,,,11/1/2015,12:15 PM,0,0
ACT,ACT,,,11/1/2015,12:30 PM,0,0
ACT,ACT,,,11/1/2015,12:45 PM,0,0
ACT,ACT,,,11/1/2015,1:00 PM,0,0
ACT,ACT,,,11/1/2015,1:15 PM,0,0
ACT,ACT,,,11/1/2015,1:30 PM,0,0
ACT,ACT,,,11/1/2015,1:45 PM,0,0
ACT,ACT,,,11/1/2015,2:00 PM,0,0
ACT,ACT,,,11/1/2015,2:15 PM,0,0
ACT,ACT,,,11/1/2015,2:30 PM,0,0
ACT,ACT,,,11/1/2015,2:45 PM,0,0
ACT,ACT,,,11/1/2015,3:00 PM,0,0
ACT,ACT,,,11/1/2015,3:15 PM,0,0
ACT,ACT,,,11/1/2015,3:30 PM,0,0
ACT,ACT,,,11/1/2015,3:45 PM,0,0
ACT,ACT,,,11/1/2015,4:00 PM,0,0
ACT,ACT,,,11/1/2015,4:15 PM,0,0
ACT,ACT,,,11/1/2015,4:30 PM,0,0
ACT,ACT,,,11/1/2015,4:45 PM,0,0
ACT,ACT,,,11/1/2015,5:00 PM,0,0
ACT,ACT,,,11/1/2015,5:15 PM,0,0
ACT,ACT,,,11/1/2015,5:30 PM,0,0
ACT,ACT,,,11/1/2015,5:45 PM,0,0
ACT,ACT,,,11/1/2015,6:00 PM,0,0
ACT,ACT,,,11/1/2015,6:15 PM,0,0
ACT,ACT,,,11/1/2015,6:30 PM,0,0
ACT,ACT,,,11/1/2015,6:45 PM,0,0
ACT,ACT,,,11/1/2015,7:00 PM,0,0
ACT,ACT,,,11/1/2015,7:15 PM,0,0
ACT,ACT,,,11/1/2015,7:30 PM,0,0
ACT,ACT,,,11/1/2015,7:45 PM,0,0
ACT,ACT,,,11/1/2015,8:00 PM,0,0
ACT,ACT,,,11/1/2015,8:15 PM,0,0
ACT,ACT,,,11/1/2015,8:30 PM,0,0
ACT,ACT,,,11/1/2015,8:45 PM,0,0
ACT,ACT,,,11/1/2015,9:00 PM,0,0
ACT,ACT,,,11/1/2015,9:15 PM,0,0
ACT,ACT,,,11/1/2015,9:30 PM,0,0
ACT,ACT,,,11/1/2015,9:45 PM,0,0
ACT,ACT,,,11/1/2015,10:00 PM,0,0
ACT,ACT,,,11/1/2015,10:15 PM,0,0
ACT,ACT,,,11/1/2015,10:30 PM,0,0
ACT,ACT,,,11/1/2015,10:45 PM,0,0
ACT,ACT,,,11/1/2015,11:00 PM,0,0
ACT,ACT,,,11/1/2015,11:15 PM,0,0
ACT,ACT,,,11/1/2015,11:30 PM,0,0
ACT,ACT,,,11/1/2015,11:45 PM,0,0
ACT,ACT,,,11/2/2015,12:00 AM,0,0
ACT,ACT,,,11/2/2015,12:15 AM,0,0
ACT,ACT,,,11/2/2015,12:30 AM,0,0
ACT,ACT,,,11/2/2015,12:45 AM,0,0
ACT,ACT,,,11/2/2015,1:00 AM,0,0
ACT,ACT,,,11/2/2015,1:15 AM,0,0
ACT,ACT,,,11/2/2015,1:30 AM,0,0
ACT,ACT,,,11/2/2015,1:45 AM,0,0
ACT,ACT,,,11/2/2015,2:00 AM,0,0
ACT,ACT,,,11/2/2015,2:15 AM,0,0
ACT,ACT,,,11/2/2015,2:30 AM,0,0
ACT,ACT,,,11/2/2015,2:45 AM,0,0
ACT,ACT,,,11/2/2015,3:00 AM,0,0
ACT,ACT,,,11/2/2015,3:15 AM,0,0
ACT,ACT,,,11/2/2015,3:30 AM,0,0
ACT,ACT,,,11/2/2015,3:45 AM,0,0
ACT,ACT,,,11/2/2015,4:00 AM,0,0
ACT,ACT,,,11/2/2015,4:15 AM,0,0
ACT,ACT,,,11/2/2015,4:30 AM,0,0
